cf,70.0
1.814999999999999858e+01,-6.035914423089987907e-02,0.000000000000000000e+00
1.819999999999999929e+01,-9.967577501429963904e-02,0.000000000000000000e+00
1.825000000000000000e+01,-6.620592670974160381e-06,0.000000000000000000e+00
1.830000000000000071e+01,1.035848595102669134e-01,0.000000000000000000e+00
1.835000000000000142e+01,6.520439804787889204e-02,0.000000000000000000e+00
1.839999999999999858e+01,-6.635145910796830249e-02,0.000000000000000000e+00
1.844999999999999929e+01,-1.092046276987356790e-01,0.000000000000000000e+00
1.850000000000000000e+01,-6.011372351665258750e-06,0.000000000000000000e+00
1.855000000000000071e+01,1.127540021464319975e-01,0.000000000000000000e+00
1.860000000000000142e+01,7.075085751143789237e-02,0.000000000000000000e+00
1.864999999999999858e+01,-7.177383544452674291e-02,0.000000000000000000e+00
1.869999999999999929e+01,-1.177658529065217230e-01,0.000000000000000000e+00
1.875000000000000000e+01,-5.254132092825858993e-06,0.000000000000000000e+00
1.880000000000000071e+01,1.208681199273467649e-01,0.000000000000000000e+00
1.885000000000000142e+01,7.561905064502869034e-02,0.000000000000000000e+00
1.889999999999999858e+01,-7.649275633933516616e-02,0.000000000000000000e+00
1.894999999999999929e+01,-1.251486448599645473e-01,0.000000000000000000e+00
1.900000000000000000e+01,-4.367517665450611498e-06,0.000000000000000000e+00
1.905000000000000071e+01,1.277274163440314803e-01,0.000000000000000000e+00
1.910000000000000142e+01,7.968910637709530898e-02,0.000000000000000000e+00
